,Time,-x,+x,2x,-y,+y,2y
0,0.0,-5.4030999504330826,5.600753233006599,11.003853183439682,-3.7263711021713517,3.83265957898089,7.559030681152242
1,26.334166526794434,-10.806199900866165,11.201506466013198,22.007706366879365,-7.452742204342703,7.66531915796178,15.118061362304484
2,29.419564247131348,-16.20929985129925,16.802259699019796,33.01155955031904,-11.179113306514056,11.49797873694267,22.677092043456728
3,31.502585649490356,-21.61239980173233,22.403012932026396,44.01541273375873,-14.905484408685407,15.33063831592356,30.23612272460897
4,33.71281409263611,-27.015499752165415,28.003766165032992,55.01926591719841,-18.63185551085676,19.16329789490445,37.79515340576121
5,37.0613009929657,-27.015499752165415,28.003766165032992,55.01926591719841,-18.63185551085676,19.16329789490445,37.79515340576121
6,38.73932695388794,-27.015499752165415,28.003766165032992,55.01926591719841,-18.63185551085676,19.16329789490445,37.79515340576121
7,40.42867732048035,-27.015499752165415,28.003766165032992,55.01926591719841,-18.63185551085676,19.16329789490445,37.79515340576121
8,41.78287887573242,-27.015499752165415,28.003766165032992,55.01926591719841,-18.63185551085676,19.16329789490445,37.79515340576121
9,43.24188232421875,-27.015499752165415,28.003766165032992,55.01926591719841,-18.63185551085676,19.16329789490445,37.79515340576121
